<details> <summary> <b>openwrt new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
86ebe649c2|Christoph Krapp|Sat Nov 22 22:34:04 2025 +0100|ipq40xx: convert Orbi led labels to function/color
ce54f6e893|Christoph Krapp|Sat Nov 22 20:42:33 2025 +0100|ipq40xx: fix second 5ghz radio on Netgear RBx40
368c9c0c99|Christoph Krapp|Sat Nov 22 20:40:49 2025 +0100|ipq-wifi: add entry for Netgear RBK40
d4274a10f6|Christoph Krapp|Sat Nov 22 20:25:29 2025 +0100|ipq40xx: fix Netgear RBR40 wan mac
8e5cdd84eb|Christoph Krapp|Sat Nov 22 20:20:14 2025 +0100|ipq40xx: split orbi devices in router and satellite
872fd1f0b6|Robert Marko|Tue Dec 16 10:27:34 2025 +0100|ipq-wifi: update to Git HEAD (2025-12-16)
d18dfbdcbc|Christoph Krapp|Mon Nov 10 23:44:21 2025 +0100|qualcommax: ipq807x: use ascii-env driver for Linksys MX4200v1
6d7fbcccac|Mario Andrés Pérez|Sun Dec 14 18:45:10 2025 +0100|sunxi: image: sync target profiles names with DT compatible
946e43c3d8|Karsten Sperling|Fri Sep 12 15:49:13 2025 +1200|scripts,ipkg-build: Fix error message for invalid package name
</details>
